movieId,rating_mean,rating_count
0,2.0,1
1,3.8142857142857145,70
2,3.630434782608696,184
3,3.6974085365853657,656
4,3.378099173553719,242
5,3.7524752475247523,101
6,4.153846153846154,26
7,3.64,25
8,3.6129032258064515,155
9,3.865168539325843,178
10,3.452830188679245,53
11,3.1458333333333335,24
12,3.296195652173913,736
13,3.5594660194174756,412
14,4.596774193548387,31
15,4.2214285714285715,70
16,4.479166666666667,24
17,3.6551724137931036,29
18,3.371657754010695,187
19,3.423580786026201,458
20,4.089743589743589,78
21,4.233009708737864,103
22,4.318181818181818,22
23,4.061994609164421,371
24,4.02,25
25,3.528735632183908,87
26,3.551282051282051,39
27,3.8666666666666667,60
28,4.6938775510204085,49
29,3.3676470588235294,34
30,3.7857142857142856,35
31,2.431077694235589,399
32,3.757575757575758,33
33,4.043478260869565,23
34,3.234375,32
35,3.89,50
36,3.5462962962962963,108
37,4.5,64
38,3.357429718875502,249
39,3.913793103448276,29
40,4.273255813953488,86
41,3.527638190954774,199
42,3.8181818181818183,22
43,3.526190476190476,420
44,4.536363636363636,55
45,3.7954545454545454,44
46,3.796875,160
47,3.585714285714286,70
48,4.08,25
49,4.2,25
50,4.222222222222222,81
51,3.625,20
52,3.689655172413793,29
53,4.62962962962963,27
54,3.814814814814815,27
55,3.92,50
56,3.716666666666667,30
57,3.8267605633802817,355
58,4.423076923076923,104
59,3.389502762430939,362
60,3.56,50
61,3.7070063694267517,314
62,4.012195121951219,205
63,3.825,40
64,4.160377358490566,53
65,4.132352941176471,34
66,3.5949367088607596,79
67,3.1825396825396823,126
68,3.9146341463414633,41
69,3.946308724832215,149
70,3.326530612244898,196
71,4.388888888888889,36
72,3.3321033210332103,813
73,3.5641025641025643,39
74,3.227272727272727,22
75,3.2451612903225806,465
76,4.019230769230769,182
77,3.111111111111111,45
78,4.413043478260869,69
79,3.5454545454545454,22
80,2.518375241779497,517
81,2.8260869565217392,23
82,3.4823529411764707,170
83,3.75,28
84,3.4872611464968153,314
85,3.5441176470588234,68
86,3.9662162162162162,148
87,4.393939393939394,33
88,4.095238095238095,21
89,3.4175531914893615,188
90,3.8484848484848486,33
91,3.6324503311258276,151
92,4.130681818181818,88
93,3.926829268292683,123
94,3.6037735849056602,53
95,3.696759259259259,216
96,4.218181818181818,55
97,3.9402985074626864,67
98,3.9,145
99,3.4375,72
100,3.5081967213114753,61
101,3.512295081967213,122
102,4.106451612903226,155
103,3.6875,32
104,4.732558139534884,43
105,3.2580645161290325,31
106,4.027777777777778,36
107,3.518450184501845,271
108,3.755813953488372,43
109,3.9981132075471697,265
110,4.28125,48
111,4.413043478260869,23
112,3.0225563909774436,133
113,3.530075187969925,133
114,3.437007874015748,127
115,4.137931034482759,29
116,3.75,52
117,4.3584905660377355,53
118,3.189189189189189,37
119,3.2096774193548385,124
120,4.2,640
121,3.25,84
122,2.982456140350877,57
123,3.1015625,128
124,3.4285714285714284,56
125,3.589795918367347,245
